name	figi	ticker	class_code	country_of_risk
Корпоративный Центр Икс 5	TCS878808X38	RU000A108X38	A36	RU
Казаньоргсинтез - акции обыкновенные	TCS846789825	RU0009089825	A37	RU
Бурятзолото	BBG002B24058	BRZL	TQBR	RU
Группа ЛСР	TCS01A0JPFP0	RU000A0JPFP0	A36	RU
НОВАТЭК	BBG00475KKY8	NVTK	TQBR	RU
Petropavlovsk PLC	TCS131544546	GB0031544546	GB0031544546_A13	RU
Яндекс	TCS30A107T19	YDEX	SPEQ	RU
United medical group	TCS390607JE2	RU000A107JE2	A36	RU
Сбер Банк - привилегированные акции	TCS109029557	SBERP	SPEQ	RU
VEON	TCSF349W1038	BMG9349W1038	A29	RU
Промомед	TCS20A108JF7	PRMD	PTEQ	RU
ЮУНК	BBG002YFXL29	UNKL	TQBR	RU
Whoosh	TCSTCS105EX7	WUSH	PSSU	RU
Мечел - Привилегированные акции	TCS2946JPV70	RU000A0JPV70	A36	RU
Нижнекамскнефтехим	BBG000GQSRR5	NKNC	TQBR	RU
ИНАРКТИКА	BBG000W325F7	AQUA	TQBR	RU
Софтлайн	TCS70A0ZZBC2	SOFL	PTEQ	RU
ТНС энерго Воронеж	BBG000BX7DH0	VRSB	TQBR	RU
SPO Positive Technologies	ISSANCESPOPO	ISSANCESPOPO	ISSANCESPOPO	RU
АФК Система	TCS10A0DQZE3	AFKS	SPEQ	RU
Globaltrans Investment PLC	TCS7949E2046	GLTR	SMAL	RU
РосДорБанк	BBG0078NQQ09	RDRB	TQBR	RU
НКХП	TCS00A0BLWD7	RU000A0BLWD7	TILA21	RU
Бест Эффортс Банк	BBG002ZHC363	ALBK	TQBR	RU
Яковлев	TCS106752979	IRKT	SMAL	RU
Мордовская энергосбытовая компания	BBG000MFYK81	MRSB	TQBR	RU
МТС	TCS207775219	RU0007775219	TILA21	RU
КуйбышевАзот - Акции привилегированные	TCS00A0B9BW0	RU000A0B9BW0	TILA21	RU
Positive Technologies Оферта (2 окно)	ISSANCEPOSI2	ISSANCEPOSI2	ISSANCEPOSI2	RU
МТС-Банк	TCS00A0JRH43	MBNK	TQBR	RU
Россети Кубань	BBG000CV6PB3	KUBE	TQBR	RU
Московская Биржа	BBG004730JJ5	MOEX	TQBR	RU
Роснефть	TCS8700J2Q06	RU000A0J2Q06	A37	RU
НЕФАЗ	BBG00226CJM0	NFAZ	TQBR	RU
ЧМК	TCS007665170	RU0007665170	RU0007665170_A21	RU
Саратовский нефтеперерабатывающий завод	BBG002B2J6C1	KRKN	TQBR	RU
Ленэнерго	TCS370534490	RU0009034490	A36	RU
Яндекс	TCS909805522	YNDX	PSBB_EQ	RU
Башнефть	RU0007976957	BANE	SPEQ	RU
Дороги и Мосты	TCS00A1028S3	RU000A1028S3	RU000A1028S3	RU
Яковлев	TCS10A1076X2	RU000A1076X2	RU000A1076X2_RDLNSD	RU
Хэдхантер	TCS10A107662	HEAD	PSSPBRU	RU
Fix Price Group	TCS2835G2057	US33835G2057	US33835G2057_RZA	RU
Сахалинэнерго	BBG00FX0RGJ4	SLEN	TQBR	RU
ФСК Россети	TCS00A0JPNN9	FEES	SMAL	RU
ЧЗПСН	TCS10A0JNXF9	PRFN	TQPI	RU
Русолово	BBG004Z2RGW8	ROLO	TQBR	RU
