name	figi	ticker	class_code
Stride, Inc	TCSF333M1080	US86333M1080	A29
IAC Inc	TCSF891N2080	US44891N2080	A30
Conduent Incorporated	TCSF67871036	US2067871036	A30
Marine Products Corp	BBG000BC0955	MPX	MPX
Unity Software	TCSF332U1016	US91332U1016	A29
Fortrea Holdings Inc.	TCSF965K1079	US34965K1079	A30
Fate Therapeutics Inc	BBG000QP35H2	FATE	SPBXM
Edgewell Personal Care Co	TCSF035Q1022	US28035Q1022	A30
GEA Group AG	BBG000BSV6W2	G1A	G1A
Canopy Growth Corporation	TCSF80357048	CA1380357048	A30
ChemoCentryx, Inc	BBG000PTSB12	CCXI	SPBXM
Galmed Pharmaceuticals Ltd.	TCSF11313900	IL0011313900	A29
ABM Industries	BBG000B9YYH7	ABM	SPBXM
CoreSite REIT	TCS000BCSPR5	COR	COR_OLD
Ikena Oncology	BBG00XZY4TG9	IKNA	IKNA
Zepp Health	US98945L2043	ZEPP	nyse
AT&T	TCS2206R1023	US00206R1023	US00206R1023_A11
AT&T	TCS0206R1023	T-RM	FQBR
Manchester United Plc	TCSF784H1065	KYG5784H1065	A30
Watsco Inc	BBG000DJN7L9	WSO	SPBXM
Total System Services	BBG000C1JTL6	TSS	SPBXM
Latam Airlines Group S.A.	BBG000JJBNH6	US51817R1068	LTMAQ
Vonovia SE	TCSF0A1ML7J1	DE000A1ML7J1	A29
Jamf Holding Corp	TCSF074L1052	US47074L1052	A30
Trimble Inc	TCSF62391004	US8962391004	A29
Haier Smart Home	BBG00Y6QRDM9	6690	SPBHKEX
Ally Financial Inc	US02005N1000	US02005N1000	SPBXM_OTC
Lowe's	TCSF86611073	US5486611073	A29
Timken Co The	TCSF73891043	US8873891043	A29
Honeywell	TCSF85161066	US4385161066	A30
DermTech	US24984K1051	US24984K1051	SPBXM_OTC
Central Garden & Pet Co	BBG000KTYB56	CENTA	SPBXM
Erste Group Bank AG	TCSF00652011	AT0000652011	A29
Gritstone Oncology	TCSF868T1051	US39868T1051	A30
CEL SCI Corporation	BBG000H5G6L5	CVM	SPBXM
AMC Networks Inc	TCSF164V1035	US00164V1035	A29
AGCO Corp	US0010841023	US0010841023	SPBXM_OTC
Compugen	TCSF10852080	IL0010852080	A29
HEXO Corp	TCS10G9J3624	HEXOold	HEXOold
